"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,117,"KAZ","Kazakhstan",1,"Almaty",1,"Aksuskiy","KZ.AA.AK",NA,"","Rayon","District","",""
2,117,"KAZ","Kazakhstan",1,"Almaty",2,"Alakolskiy","KZ.AA.AL",NA,"","Rayon","District","","Alakol'skiy"
3,117,"KAZ","Kazakhstan",1,"Almaty",3,"Almaty (Alma-Ata)","",NA,"","Rayon","District","",""
4,117,"KAZ","Kazakhstan",1,"Almaty",4,"Balkhashskiy","KZ.AA.BA",NA,"","Rayon","District","",""
5,117,"KAZ","Kazakhstan",1,"Almaty",5,"Enbekshikazakhskiy","KZ.AA.EN",NA,"","Rayon","District","",""
6,117,"KAZ","Kazakhstan",1,"Almaty",6,"Iliyskiy","KZ.AA.IL",NA,"","Rayon","District","",""
7,117,"KAZ","Kazakhstan",1,"Almaty",7,"Karasayskiy","KZ.AA.KS",NA,"","Rayon","District","","Karasayskiy (Kaskelenskiy)"
8,117,"KAZ","Kazakhstan",1,"Almaty",8,"Karatal`skiy","KZ.AA.KT",NA,"","Rayon","District","","Karatalskiy"
9,117,"KAZ","Kazakhstan",1,"Almaty",9,"Kerbulakskiy","KZ.AA.KE",NA,"","Rayon","District","",""
10,117,"KAZ","Kazakhstan",1,"Almaty",10,"Koksuskiy","KZ.AA.KO",NA,"","Rayon","District","",""
11,117,"KAZ","Kazakhstan",1,"Almaty",11,"Panfilovskiy","KZ.AA.PA",NA,"","Rayon","District","",""
12,117,"KAZ","Kazakhstan",1,"Almaty",12,"Raiymbekskiy","KZ.AA.RA",NA,"","Rayon","District","","Rayymbekskiy (Narynko'skiy)"
13,117,"KAZ","Kazakhstan",1,"Almaty",13,"Sarkandskiy","KZ.AA.SA",NA,"","Rayon","District","",""
14,117,"KAZ","Kazakhstan",1,"Almaty",14,"Taldyqorghan","KZ.AA.TQ",NA,"","Maslikhat","Assembly","","Taldyqorghanskiy"
15,117,"KAZ","Kazakhstan",1,"Almaty",15,"Talgarskiy","KZ.AA.TG",NA,"","Rayon","District","",""
16,117,"KAZ","Kazakhstan",1,"Almaty",16,"Uygurskiy","KZ.AA.UY",NA,"","Rayon","District","",""
17,117,"KAZ","Kazakhstan",1,"Almaty",17,"Zhambylskiy","KZ.AA.ZH",NA,"","Rayon","District","",""
18,117,"KAZ","Kazakhstan",2,"Aqmola",18,"Akkol`skiy","KZ.AM.AK",NA,"","Rayon","District","","Akkol'skiy (Alekseevskiy)"
