adm_name,city,x,y
Алматы,Алматы,76.945456,43.238286
Астана,Астана,71.430564,51.128422
Южно-Казахстанская область,Шымкент,69.586907,42.315514
Карагандинская область,Караганда,73.085485,49.806406
Актюбинская область,Актобе,57.154636,50.300411
Мангистауская область,Актау,51.169135,43.635379
Восточно-Казахстанская область,Усть-Каменогорск,82.628459,49.948759
Жамбылская область,Тараз,71.378309,42.901183
Атырауская область,Атырау,51.90313,47.106719
Костанайская область,Костанай,63.631031,53.214917
Павлодарская область,Павлодар,76.940947,52.285577
Западно-Казахстанская область,Уральск,51.367842,51.212291
Кызылординская область,Кызылорда,65.50268,44.83986
Восточно-Казахстанская область,Семей,80.25617,50.416526
Акмолинская область,Кокшетау,69.377554,53.284635
Алматинская область,Талдыкорган,78.383794,45.017958
Северо-Казахстанская область,Петропавловск,69.135602,54.865472
Карагандинская область,Жезказган,67.713605,47.800225
Южно-Казахстанская область,Туркестан,68.270345,43.300674
Мангистауская область,Жанаозен,52.865792,43.343266
Павлодарская область,Экибастуз,75.32662,51.729692
Карагандинская область,Темиртау,72.953424,50.058756
Карагандинская область,Балхаш,74.983356,46.839326
Костанайская область,Рудный,63.133383,52.964443
Атырауская область,Кульсары,53.988308,46.948599
Алматинская область,Талгар,77.228902,43.307864
Алматинская область,Жаркент,80.003806,44.166106
Алматинская область,Есик,77.45189,43.364937
Алматинская область,Каскелен,76.623383,43.202284
Акмолинская область,Щучинск,70.210131,52.942107
Байконур,Байконыр,63.317654,45.622546
Южно-Казахстанская область,Жетысай,68.32869,40.770693
Жамбылская область,Кордай,71.341334,42.953704
Кызылординская область,Шиели,66.731387,44.177795
Восточно-Казахстанская область,Риддер,83.506994,50.339113
Южно-Казахстанская область,Сарыагаш,69.172091,41.465193
Жамбылская область,Шу,73.760237,43.611782
Жамбылская область,Мерке,73.176341,42.861128
Карагандинская область,Сатпаев,67.537697,47.900388
Алматинская область,Капчагай,77.062471,43.855213
Акмолинская область,Атбасар,68.358299,51.815766
Западно-Казахстанская область,Аксай,53.021901,51.165499
Акмолинская область,Степногорск,71.879793,52.346664
Южно-Казахстанская область,Кентау,68.504652,43.518131
Восточно-Казахстанская область,Аягоз,80.436238,47.965266
Алматинская область,Узынагаш,76.316501,43.22645
Восточно-Казахстанская область,Зыряновск,84.274505,49.725608
Павлодарская область,Аксу,76.926367,52.040616
Кызылординская область,Жанакорган,67.235665,43.899328
Республика Саха (Якутия),Кулан,128.359049,62.020097
Восточно-Казахстанская область,Урджар,81.6239,47.091329
Южно-Казахстанская область,Турара Рыскулова,70.35051,42.534695
Карагандинская область,Шахтинск,72.588591,49.710098
Актюбинская область,Хромтау,58.433002,50.257871
Южно-Казахстанская область,Арысь,68.797233,42.422675
Южно-Казахстанская область,Аксукент,69.828652,42.420712
Алматинская область,Шелек,78.250583,43.597532
Костанайская область,Лисаковск,62.492641,52.544079
Южно-Казахстанская область,Абай (Сарыагашский р-н),68.94506,41.348521
Кызылординская область,Айтеке би,62.151245,45.846984
Костанайская область,Житикара,61.189797,52.183911
Алматинская область,Ащибулак,78.460618,45.023252
Алматинская область,Боралдай,76.855319,43.353263
Мангистауская область,Бейнеу,55.188862,45.322946
Алматинская область,Ушарал,80.946858,46.174094
Кызылординская область,Аральск,61.656175,46.80065
Костанайская область,Аркалык,66.913799,50.252964
Карагандинская область,Абай (Абайский р-н),72.859496,49.632319
Восточно-Казахстанская область,Шемонаиха,81.911927,50.625035
Южно-Казахстанская область,Ленгер,69.88212,42.182051
Жамбылская область,Отеген батыра,71.436628,42.897603
Актюбинская область,Кандыагаш,57.415507,49.46487
Акмолинская область,Макинск,70.416321,52.636117
Акмолинская область,Акколь (Аккольский р-н),70.952948,51.995855
Акмолинская область,Есиль,66.406179,51.958032
Южно-Казахстанская область,Казыгурт,69.545171,42.291555
Жамбылская область,Каратау,70.465441,43.179555
Жамбылская область,Бауыржана Момышулы,70.768847,42.614161
Актюбинская область,Шалкар,59.620494,47.832935
Восточно-Казахстанская область,Зайсан,84.876376,47.467605
